,INSTANCE,LDEG,GDEG,Oracle,PBC4cip
0,instances/BBGRL/50_ep0.1_0_gilbert_2.in,0.9,0.9,0.9,0.9
1,instances/BBGRL/500_ep0.025_0_gilbert_7.in,0.992,0.992,0.992,0.992
2,instances/BBGRL/500_ep0.015_0_gilbert_4.in,0.99,0.99,0.99,0.99
3,instances/BBGRL/1000_ep0.01_0_gilbert_9.in,0.995,0.995,0.995,0.995
4,instances/BBGRL/1000_ep0.01_0_gilbert_7.in,0.996,0.996,0.996,0.996
5,instances/BBGRL/50_ep0.1_0_gilbert_6.in,0.88,0.9,0.88,0.9
6,instances/BBGRL/50_ep0.2_0_gilbert_7.in,0.94,0.94,0.94,0.94
7,instances/BBGRL/1000_ep0.0075_0_gilbert_4.in,0.001,0.994,0.001,0.001
8,instances/BBGRL/100_ep0.1_0_gilbert_4.in,0.97,0.97,0.97,0.97
9,instances/BBGRL/500_ep0.025_0_gilbert_5.in,0.992,0.992,0.992,0.992
10,instances/BBGRL/1000_ep0.0125_0_gilbert_10.in,0.995,0.995,0.995,0.995
11,instances/BBGRL/500_ep0.015_0_gilbert_9.in,0.99,0.99,0.99,0.99
12,instances/BBGRL/50_ep0.2_0_gilbert_10.in,0.94,0.94,0.94,0.94
13,instances/BBGRL/500_ep0.02_0_gilbert_6.in,0.992,0.992,0.992,0.992
14,instances/BBGRL/1000_ep0.0125_0_gilbert_3.in,0.996,0.996,0.996,0.996
15,instances/BBGRL/50_ep0.2_0_gilbert_6.in,0.94,0.94,0.94,0.94
16,instances/BBGRL/1000_ep0.0125_0_gilbert_7.in,0.996,0.996,0.996,0.996
17,instances/BBGRL/1000_ep0.01_0_gilbert_8.in,0.995,0.995,0.995,0.995
18,instances/BBGRL/100_ep0.05_0_gilbert_10.in,0.94,0.95,0.94,0.95
19,instances/BBGRL/100_ep0.05_0_gilbert_5.in,0.96,0.96,0.96,0.95
20,instances/BBGRL/50_ep0.15_0_gilbert_4.in,0.92,0.94,0.92,0.94
21,instances/BBGRL/1000_ep0.0075_0_gilbert_3.in,0.994,0.994,0.994,0.994
22,instances/BBGRL/1000_ep0.0125_0_gilbert_4.in,0.995,0.996,0.995,0.995
23,instances/BBGRL/500_ep0.02_0_gilbert_10.in,0.992,0.992,0.992,0.992
24,instances/GBRL/1000_ep0.01_0_gilbert_7.in,0.996,0.996,0.996,0.996
25,instances/GBRL/500_ep0.015_0_gilbert_9.in,0.99,0.99,0.99,0.99
26,instances/GBRL/1000_r0.05_0_geom_5.gin,0.963,0.964,0.963,0.963
27,instances/GBRL/50_ep0.25_0_gilbert_5.in,0.94,0.94,0.94,0.94
28,instances/GBRL/500_ep0.015_0_gilbert_8.in,0.99,0.99,0.99,0.99
29,instances/GBRL/100_ep0.075_0_gilbert_7.in,0.96,0.96,0.96,0.96
30,instances/GBRL/50_ep0.25_0_gilbert_9.in,0.96,0.96,0.96,0.96
31,instances/GBRL/50_r0.259_0_geom_4.gin,0.86,0.88,0.86,0.86
32,instances/GBRL/1000_ep0.0075_0_gilbert_1.in,0.994,0.994,0.994,0.994
33,instances/GBRL/100_r0.219_0_geom_6.gin,0.93,0.93,0.93,0.93
34,instances/GBRL/50_r0.299_0_geom_9.gin,0.9,0.9,0.9,0.9
35,instances/GBRL/100_r0.219_0_geom_10.gin,0.93,0.93,0.93,0.93
36,instances/GBRL/100_ep0.125_0_gilbert_5.in,0.97,0.97,0.97,0.97
37,instances/GBRL/50_r0.334_0_geom_2.gin,0.9,0.9,0.9,0.9
38,instances/GBRL/100_ep0.1_0_gilbert_7.in,0.96,0.96,0.96,0.96
39,instances/GBRL/500_r0.083_0_geom_4.gin,0.962,0.964,0.962,0.962
40,instances/GBRL/50_ep0.25_0_gilbert_6.in,0.96,0.96,0.96,0.96
41,instances/GBRL/100_ep0.075_0_gilbert_8.in,0.96,0.96,0.96,0.96
