,INSTANCE,EDGE_DENSITY,AVG_DEGREE,BURNING_NODES,BURNING_EDGES,NODES_IN_DANGER,HEURISTIC,RESULT
0,instances/BBGRL/1000_ep0.0075_0_gilbert_9.in,0.007583583583583584,0.007581154728301875,0.001,1.001001001001001e-05,0.01,LDEG,0.994
1,instances/BBGRL/1000_ep0.0075_0_gilbert_9.in,0.007543543543543543,0.007564693105643561,0.01,6.206206206206206e-05,0.06,LDEG,0.994
2,instances/BBGRL/1000_ep0.0075_0_gilbert_9.in,0.007395395395395395,0.0074864961840204036,0.069,0.0004404404404404404,0.363,GDEG,0.994
3,instances/BBGRL/1000_ep0.0075_0_gilbert_9.in,0.0065045045045045045,0.007022647647647647,0.421,0.0024594594594594594,0.892,GDEG,0.994
4,instances/BBGRL/1000_ep0.0075_0_gilbert_9.in,0.0034614614614614614,0.004004004004004004,0.969,0.0033533533533533534,0.914,GDEG,0.994
5,instances/BBGRL/1000_ep0.0075_0_gilbert_9.in,0.003257257257257257,0.001001001001001001,0.994,0.003256256256256256,0.893,LDEG,0.994
0,instances/BBGRL/500_ep0.02_0_gilbert_4.in,0.02004008016032064,0.02004409620844896,0.002,3.6072144288577156e-05,0.018,LDEG,0.992
1,instances/BBGRL/500_ep0.02_0_gilbert_4.in,0.01986372745490982,0.01993783485338023,0.018,0.0003246492985971944,0.148,LDEG,0.992
2,instances/BBGRL/500_ep0.02_0_gilbert_4.in,0.01909418837675351,0.019714069286899158,0.16,0.0026132264529058116,0.73,GDEG,0.992
3,instances/BBGRL/500_ep0.02_0_gilbert_4.in,0.014460921843687375,0.016596299394906318,0.788,0.011042084168336673,0.934,GDEG,0.992
4,instances/BBGRL/500_ep0.02_0_gilbert_4.in,0.009322645290581162,0.0,0.992,0.009322645290581162,0.906,LDEG,0.992
0,instances/BBGRL/50_ep0.15_0_gilbert_5.in,0.13877551020408163,0.13952519783423573,0.02,0.0020408163265306124,0.1,GDEG,0.92
1,instances/BBGRL/50_ep0.15_0_gilbert_5.in,0.12408163265306123,0.12956810631229235,0.12,0.012653061224489797,0.38,LDEG,0.92
